"Entity","Code","Year","nitrogen_kg_ha"
"United States","USA",2018,59.72
"United States","USA",2019,59.49
"United States","USA",2020,60.76
"United States","USA",2021,60.17
"United States","USA",2022,59.08
"United States","USA",2023,59.08
"Brazil","BRA",1961,1.58
"Brazil","BRA",1962,1.42
"Brazil","BRA",1963,1.72
"Brazil","BRA",1964,1.38
"Brazil","BRA",1965,1.89
"Brazil","BRA",1966,1.88
"Brazil","BRA",1967,2.77
"Brazil","BRA",1968,3.7
"Brazil","BRA",1969,4.15
"Brazil","BRA",1970,6.93
"Brazil","BRA",1971,6.7
"Brazil","BRA",1972,9.6
"Brazil","BRA",1973,7.86
"Brazil","BRA",1974,8.54
"Brazil","BRA",1975,8.66
"Brazil","BRA",1976,9.88
"Brazil","BRA",1977,12.99
"Brazil","BRA",1978,12.23
"Brazil","BRA",1979,12.78
"Brazil","BRA",1980,14.05
"Brazil","BRA",1981,10.19
"Brazil","BRA",1982,9.64
"Brazil","BRA",1983,8.4
"Brazil","BRA",1984,11.83
"Brazil","BRA",1985,11.95
"Brazil","BRA",1986,14.35
"Brazil","BRA",1987,14.3
"Brazil","BRA",1988,12.43
"Brazil","BRA",1989,12.51
"Brazil","BRA",1990,12.7
"Brazil","BRA",1991,13.55
"Brazil","BRA",1992,14.04
"Brazil","BRA",1993,18.56
"Brazil","BRA",1994,21.39
"Brazil","BRA",1995,20.48
"Brazil","BRA",1996,22.05
"Brazil","BRA",1997,24.88
"Brazil","BRA",1998,26.26
"Brazil","BRA",1999,27.72
"Brazil","BRA",2000,27.36
"Brazil","BRA",2001,26.44
"Brazil","BRA",2002,31.35
"Brazil","BRA",2003,35.54
"Brazil","BRA",2004,39.99
"Brazil","BRA",2005,33.21
"Brazil","BRA",2006,34.84
"Brazil","BRA",2007,45.76
"Brazil","BRA",2008,41.55
"Brazil","BRA",2009,35.63
"Brazil","BRA",2010,45.13
"Brazil","BRA",2011,55.56
"Brazil","BRA",2012,50.02
"Brazil","BRA",2013,58.61
"Brazil","BRA",2014,65
"Brazil","BRA",2015,50.04
"Brazil","BRA",2016,51.68
"Brazil","BRA",2017,64.56
"Brazil","BRA",2018,65.12
"Brazil","BRA",2019,69.65
"Brazil","BRA",2020,83.85
"Brazil","BRA",2021,95.08
"Brazil","BRA",2022,96.18
"Brazil","BRA",2023,90.92
"China","CHN",1961,5.21
"China","CHN",1962,7.78
"China","CHN",1963,9.37
"China","CHN",1964,12.04
"China","CHN",1965,17.68
"China","CHN",1966,25.88
"China","CHN",1967,19.05
"China","CHN",1968,20.96
"China","CHN",1969,25.83
"China","CHN",1970,33.16
"China","CHN",1971,33.28
"China","CHN",1972,38.26
"China","CHN",1973,44.3
"China","CHN",1974,38.07
"China","CHN",1975,50.54
"China","CHN",1976,47.74
"China","CHN",1977,71.09
"China","CHN",1978,93.37
"China","CHN",1979,107.11
"China","CHN",1980,121.97
"China","CHN",1981,115.28
"China","CHN",1982,116.9
"China","CHN",1983,123.84
"China","CHN",1984,128.86
"China","CHN",1985,110.71
"China","CHN",1986,107.32
"China","CHN",1987,132.11
"China","CHN",1988,144.41
"China","CHN",1989,145.38
"China","CHN",1990,148.96
"China","CHN",1991,150.86
"China","CHN",1992,155.54
"China","CHN",1993,138.49
"China","CHN",1994,147.38
"China","CHN",1995,182.93
"China","CHN",1996,194.36
"China","CHN",1997,176.48
"China","CHN",1998,176
"China","CHN",1999,185.65
"China","CHN",2000,170.25
"China","CHN",2001,171.65
"China","CHN",2002,190.82
"China","CHN",2003,191.15
"China","CHN",2004,198.11
"China","CHN",2005,200.26
"China","CHN",2006,203.92
"China","CHN",2007,208.51
"China","CHN",2008,210.63
"China","CHN",2009,213.92
"China","CHN",2010,219.35
"China","CHN",2011,225.06
"China","CHN",2012,230.1
"China","CHN",2013,232.68
"China","CHN",2014,235.38
"China","CHN",2015,235.31
"China","CHN",2016,233.54
"China","CHN",2017,228.38
"China","CHN",2018,218.81
"China","CHN",2019,209.11
"China","CHN",2020,201.47
"China","CHN",2021,196.74
"China","CHN",2022,191.55
"China","CHN",2023,192.39
"India","IND",1961,1.55
"India","IND",1962,2.05
"India","IND",1963,2.33
"India","IND",1964,3.42
"India","IND",1965,3.54
"India","IND",1966,4.53
"India","IND",1967,6.32
"India","IND",1968,7.34
"India","IND",1969,8.24
"India","IND",1970,8.96
"India","IND",1971,10.93
"India","IND",1972,11.15
"India","IND",1973,11.02
"India","IND",1974,10.6
"India","IND",1975,16.47
"India","IND",1976,14.71
"India","IND",1977,17.44
"India","IND",1978,20.33
"India","IND",1979,20.77
"India","IND",1980,21.87
"India","IND",1981,24.16
"India","IND",1982,23.96
"India","IND",1983,27.52
"India","IND",1984,31.48
"India","IND",1985,33.96
"India","IND",1986,38.54
"India","IND",1987,33.6
"India","IND",1988,42.26
"India","IND",1989,42.07
"India","IND",1990,44.47
"India","IND",1991,47.28
"India","IND",1992,49.57
"India","IND",1993,51.55
"India","IND",1994,55.82
"India","IND",1995,57.81
"India","IND",1996,60.85
"India","IND",1997,64.09
"India","IND",1998,66.78
"India","IND",1999,68.1
"India","IND",2000,64.19
"India","IND",2001,66.6
"India","IND",2002,61.57
"India","IND",2003,65.24
"India","IND",2004,68.94
"India","IND",2005,74.99
"India","IND",2006,81.2
"India","IND",2007,85.21
"India","IND",2008,87.75
"India","IND",2009,91.67
"India","IND",2010,97.21
"India","IND",2011,102.54
"India","IND",2012,99.33
"India","IND",2013,98.85
"India","IND",2014,100.02
"India","IND",2015,102.54
"India","IND",2016,98.84
"India","IND",2017,100.41
"India","IND",2018,104.45
"India","IND",2019,111.84
"India","IND",2020,121.42
"India","IND",2021,115.91
"India","IND",2022,120.11
"India","IND",2023,121.53
"Nigeria","NGA",1961,0.01
"Nigeria","NGA",1962,0.01
"Nigeria","NGA",1963,0.02
"Nigeria","NGA",1964,0.04
"Nigeria","NGA",1965,0.07
"Nigeria","NGA",1966,0.17
"Nigeria","NGA",1967,0.15
"Nigeria","NGA",1968,0.14
"Nigeria","NGA",1969,0.12
"Nigeria","NGA",1970,0.09
"Nigeria","NGA",1971,0.13
"Nigeria","NGA",1972,0.32
"Nigeria","NGA",1973,0.16
"Nigeria","NGA",1974,0.46
"Nigeria","NGA",1975,1.05
"Nigeria","NGA",1976,1.21
"Nigeria","NGA",1977,1.2
"Nigeria","NGA",1978,1.19
"Nigeria","NGA",1979,2.1
"Nigeria","NGA",1980,3.08
"Nigeria","NGA",1981,3.21
"Nigeria","NGA",1982,3.4
"Nigeria","NGA",1983,3.96
"Nigeria","NGA",1984,3.91
"Nigeria","NGA",1985,3.52
"Nigeria","NGA",1986,3.86
"Nigeria","NGA",1987,3.44
"Nigeria","NGA",1988,4.83
"Nigeria","NGA",1989,5.66
"Nigeria","NGA",1990,6.55
"Nigeria","NGA",1991,6.37
"Nigeria","NGA",1992,6.38
"Nigeria","NGA",1993,6.3
"Nigeria","NGA",1994,5.18
"Nigeria","NGA",1995,2.62
"Nigeria","NGA",1996,2.74
"Nigeria","NGA",1997,2.01
"Nigeria","NGA",1998,2.54
"Nigeria","NGA",1999,2.64
"Nigeria","NGA",2000,2.59
"Nigeria","NGA",2001,3.53
"Nigeria","NGA",2002,3
"Nigeria","NGA",2003,4.01
"Nigeria","NGA",2004,2.78
"Nigeria","NGA",2005,5.06
"Nigeria","NGA",2006,5.18
"Nigeria","NGA",2007,1.67
"Nigeria","NGA",2008,2.97
"Nigeria","NGA",2009,2.3
"Nigeria","NGA",2010,6.22
"Nigeria","NGA",2011,3.28
"Nigeria","NGA",2012,4.54
"Nigeria","NGA",2013,6.41
"Nigeria","NGA",2014,5.75
"Nigeria","NGA",2015,4.65
"Nigeria","NGA",2016,6.83
"Nigeria","NGA",2017,10.68
"Nigeria","NGA",2018,10.17
"Nigeria","NGA",2019,10.07
"Nigeria","NGA",2020,13.55
"Nigeria","NGA",2021,9.76
"Nigeria","NGA",2022,2.77
"Nigeria","NGA",2023,1.99
"Pakistan","PAK",1961,1.36
"Pakistan","PAK",1962,1.33
"Pakistan","PAK",1963,2.19
"Pakistan","PAK",1964,2.68
"Pakistan","PAK",1965,2.15
"Pakistan","PAK",1966,3.32
"Pakistan","PAK",1967,5.46
"Pakistan","PAK",1968,6.33
"Pakistan","PAK",1969,8.88
"Pakistan","PAK",1970,8.15
"Pakistan","PAK",1971,11.28
"Pakistan","PAK",1972,12.66
"Pakistan","PAK",1973,10.89
"Pakistan","PAK",1974,11.81
"Pakistan","PAK",1975,14.29
"Pakistan","PAK",1976,16.64
"Pakistan","PAK",1977,17.92
"Pakistan","PAK",1978,21.78
"Pakistan","PAK",1979,24.76
"Pakistan","PAK",1980,26.02
"Pakistan","PAK",1981,26.43
"Pakistan","PAK",1982,28.47
"Pakistan","PAK",1983,29.11
"Pakistan","PAK",1984,28.75
"Pakistan","PAK",1985,35.12
"Pakistan","PAK",1986,43.59
"Pakistan","PAK",1987,40.47
"Pakistan","PAK",1988,43.64
"Pakistan","PAK",1989,47.56
"Pakistan","PAK",1990,48.72
"Pakistan","PAK",1991,48.33
"Pakistan","PAK",1992,53.86
"Pakistan","PAK",1993,53.96
"Pakistan","PAK",1994,56.45
"Pakistan","PAK",1995,64.17
"Pakistan","PAK",1996,63.68
"Pakistan","PAK",1997,65.92
"Pakistan","PAK",1998,65.86
"Pakistan","PAK",1999,69.85
"Pakistan","PAK",2000,71.44
"Pakistan","PAK",2001,71.68
"Pakistan","PAK",2002,74.8
"Pakistan","PAK",2003,77.13
"Pakistan","PAK",2004,82.79
"Pakistan","PAK",2005,91.03
"Pakistan","PAK",2006,92.15
"Pakistan","PAK",2007,87.51
"Pakistan","PAK",2008,96.59
"Pakistan","PAK",2009,114.01
"Pakistan","PAK",2010,108.15
"Pakistan","PAK",2011,103.03
"Pakistan","PAK",2012,91.77
"Pakistan","PAK",2013,103.57
"Pakistan","PAK",2014,100.45
"Pakistan","PAK",2015,101.29
"Pakistan","PAK",2016,101.97
"Pakistan","PAK",2017,107.71
"Pakistan","PAK",2018,107.87
"Pakistan","PAK",2019,112.09
"Pakistan","PAK",2020,111.57
"Pakistan","PAK",2021,119.78
"Pakistan","PAK",2022,118.49
"Pakistan","PAK",2023,122.88
